Name,Description,Province,Town,Address,CoordenatesX,CoordenatesY,Latitude,Longitude,quality-uri
3 DE MARZO,,Araba,Vitoria-Gasteiz,Plaza-Tres-de-Marzo-s-n,527141.4365,4744882.8893,42.85604797053618,-2.667784994714487,http://opendata.eurohelp.es/station/3-DE-MARZO
ABANTO,,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,Avda-del-Minero-2-Ayuntamiento,493987.175,4796406.558,43.32047399433485,-3.0741559961978044,http://opendata.eurohelp.es/station/ABANTO
AGURAIN,,Araba,Agurain/Salvatierra,C-Fueros-11-Subcomisaría-de-la-Ertzaintza,549539.1393,4744226.3688,42.84901250588428,-2.3937033896081683,http://opendata.eurohelp.es/station/AGURAIN
ALGORTA (BBIZI2),,Bizkaia,Getxo,Carretera-de-Galea-s-n,498154,4801022,43.362055748944286,-3.0227822073211765,http://opendata.eurohelp.es/station/ALGORTA-BBIZI2
ALONSOTEGI,,Bizkaia,Alonsotegi,C-Baztieta-s-n-Bº-Irauregi,500972.2158,4788307.4677,43.247567997964374,-2.988024000380936,http://opendata.eurohelp.es/station/ALONSOTEGI
ARRAIZ (Monte),,Bizkaia,Bilbao,Camino-de-Arraiz-s-n,503208.6894,4788084.4656,43.245553729819484,-2.960475856567045,http://opendata.eurohelp.es/station/ARRAIZ-Monte
ATEGORRIETA,,Gipuzkoa,Donostia / San Sebastián,Avda-Ategorrieta-71,584272.2271,4797096.9139,43.32199194732484,-1.960650618338729,http://opendata.eurohelp.es/station/ATEGORRIETA
AV. GASTEIZ,,Araba,Vitoria-Gasteiz,Avda-Gasteiz-97,526086.031,4744738.1348,42.85478118366939,-2.6807098224581067,http://opendata.eurohelp.es/station/AV-GASTEIZ
AVDA. TOLOSA,,Gipuzkoa,Donostia / San Sebastián,C-Andrestegi-2,580211.325,4795650.4773,43.30941344063433,-2.010938423674493,http://opendata.eurohelp.es/station/AVDA-TOLOSA
AZPEITIA,,Gipuzkoa,Azpeitia,C-Perdillegi-s-n,559472.3,4781104.8,43.180370053194196,-2.2682104189344456,http://opendata.eurohelp.es/station/AZPEITIA
AÑORGA,,Gipuzkoa,Donostia / San Sebastián,Avda-de-Añorga-12-Añorga-Txiki,581469.0172,4793568.2345,43.29053138556358,-1.9957411467011474,http://opendata.eurohelp.es/station/AÑORGA
BANDERAS (meteo),,Bizkaia,Bilbao,Monte-Banderas-s-n,503790.8,4792020.1,43.28099012364825,-2.953278416670214,http://opendata.eurohelp.es/station/BANDERAS-meteo
BARAKALDO,,Bizkaia,Barakaldo,C-Hogar-propio-7-CIFP-Nicolás-Larburu,501043.6789,4793950.2238,43.298378997955,-2.987132999827669,http://opendata.eurohelp.es/station/BARAKALDO
BASAURI,,Bizkaia,Basauri,C-Uribarri-5-CEIP-Bizkotxalde,509437.3144,4787599.1408,43.24113129588412,-2.8837610228035238,http://opendata.eurohelp.es/station/BASAURI
BEASAIN,,Gipuzkoa,Beasain,Plaza-Gipuzkoa-1,565857.9851,4766472.8521,43.04809432240711,-2.191380269702985,http://opendata.eurohelp.es/station/BEASAIN
BOROA METEO,,Bizkaia,Amorebieta-Etxano,Parque-Empresarial-Boroa-s-n,520243.146,4787042.3114,43.23590459584916,-2.7506874305174405,http://opendata.eurohelp.es/station/BOROA-METEO
CASTREJANA,,Bizkaia,Barakaldo,C-Larrazabal-1-Bº-Castrejana,502154.4326,4789475.0682,43.25807942736176,-2.973456590856772,http://opendata.eurohelp.es/station/CASTREJANA
DURANGO,,Bizkaia,Durango,C-San-Roque-20-bajo-ES-Roque,529428.7974,4779566.5562,43.168285997690994,-2.6379580009450136,http://opendata.eurohelp.es/station/DURANGO
EASO,,Gipuzkoa,Donostia / San Sebastián,Plaza-del-Centenario-s-n,582643.6267,4795983.9845,43.31215280742268,-1.9809008637096939,http://opendata.eurohelp.es/station/EASO
ELCIEGO,,Araba,Elciego,C-Gabriel-Celaya-8,531257.1773,4707389.4714,42.51824807424149,-2.61947521199466,http://opendata.eurohelp.es/station/ELCIEGO
ERANDIO,,Bizkaia,Erandio,Avda-José-Luis-Goyoaga-s-n-Pasaje-de-Altzaga,501846,4794425,43.3026526345891,-2.9772399863752486,http://opendata.eurohelp.es/station/ERANDIO
EUROPA,,Bizkaia,Bilbao,Parque-Europa-Bº-Txurdinaga,507924.189,4789127.4396,43.25491056506432,-2.902376115931137,http://opendata.eurohelp.es/station/EUROPA
FARMACIA,,Araba,Vitoria-Gasteiz,Paseo-Universidad-7-Fac-Farmacia-UPV,526757.9486,4743110.3681,42.840099615592926,-2.672563184280286,http://opendata.eurohelp.es/station/FARMACIA
FERIA (meteo),,Bizkaia,Bilbao,C-Rafael-Moreno-Pitxitxi-s-n,504257.1663,4790269.2685,43.26522199716327,-2.9475439999557134,http://opendata.eurohelp.es/station/FERIA-meteo
HERNANI,,Gipuzkoa,Hernani,C-Aristizabal-s-n-Centro-de-salud-Hernani,582962.7015,4791020.6066,43.26743142273141,-1.977715640356133,http://opendata.eurohelp.es/station/HERNANI
JAIZKIBEL,,Gipuzkoa,Hondarribia,Monte-Jaizkibel-s-n,592449.2822,4799512.1706,43.342775184321106,-1.8594129027945114,http://opendata.eurohelp.es/station/JAIZKIBEL
LARRABETZU,,Bizkaia,Larrabetzu,Barrio-Berrezoaga-3,516281.215,4789843.71,43.261226121618066,-2.799399084312731,http://opendata.eurohelp.es/station/LARRABETZU
LAS CARRERAS,,Bizkaia,Abanto y Ciérvana-Abanto Zierbena,Plaza-Trinidad-s-n-Bº-Las-Carreras,492102.56,4796311.78,43.31960312849335,-3.0973975060209376,http://opendata.eurohelp.es/station/LAS-CARRERAS
LEZO,,Gipuzkoa,Lezo,Plaza-Polantzarene-s-n,589179.9795,4797107.63,43.32152243586307,-1.900131049811533,http://opendata.eurohelp.es/station/LEZO
LLODIO,,Araba,Laudio/Llodio,C-Lamuza-s-n,502977.4251,4776809.8177,43.1440289422417,-2.9633852821260223,http://opendata.eurohelp.es/station/LLODIO
LOS HERRAN,,Araba,Vitoria-Gasteiz,Parque-Judizmendi-Bº-Judizmendi,527682.4365,4743514.1634,42.84370295644861,-2.661230556636825,http://opendata.eurohelp.es/station/LOS-HERRAN
MAZARREDO,,Bizkaia,Bilbao,C-Alameda-Mazarredo-s-n-Guggenheim,505259.7354,4790523.5641,43.26750551179745,-2.935188110338201,http://opendata.eurohelp.es/station/MAZARREDO
MONDRAGON,,Gipuzkoa,Arrasate/Mondragón,Plaza-Jose-María-Arizmendiarrieta-s-n,541493.746,4768061.3417,43.06412079434686,-2.4903966831445423,http://opendata.eurohelp.es/station/MONDRAGON
MONTORRA,,Bizkaia,Amorebieta-Etxano,Barrio-Montorra-fte-nº5,523021.9544,4784064.8793,43.209014222504145,-2.7165885073623226,http://opendata.eurohelp.es/station/MONTORRA
